,Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,longitude,latitude,complete_address,geopoint
21129,Starbucks,818-227125,80th & Second,Company Owned,245 East 80th St,New York,NY,US,10075,2124727972,GMT-05:00 America/New_York,-73.95,40.77,245 East 80th St New York,"{'type': 'Point', 'coordinates': [-73.95, 40.77]}"
21130,Starbucks,14318-119964,Nassau & Fulton,Company Owned,130 Fulton Street,New York,NY,US,100382504,212-962-0439,GMT-05:00 America/New_York,-74.01,40.71,130 Fulton Street New York,"{'type': 'Point', 'coordinates': [-74.01, 40.71]}"
21131,Starbucks,7670-36979,49th & 8th,Company Owned,"825 Eighth Avenue, W-9",New York,NY,US,100197416,212 307 1421,GMT-05:00 America/New_York,-73.99,40.76,"825 Eighth Avenue, W-9 New York","{'type': 'Point', 'coordinates': [-73.99, 40.76]}"
21132,Starbucks,7626-33939,Spring and Varick,Company Owned,"150 Varick Street, The Lyric Building",New York,NY,US,100131218,646-230-9816,GMT-05:00 America/New_York,-74.01,40.73,"150 Varick Street, The Lyric Building New York","{'type': 'Point', 'coordinates': [-74.01, 40.73]}"
21133,Starbucks,7699-45959,95th & Broadway,Company Owned,2521 Broadway,New York,NY,US,100256924,(212) 316-0374,GMT-05:00 America/New_York,-73.97,40.79,2521 Broadway New York,"{'type': 'Point', 'coordinates': [-73.97, 40.79]}"
21134,Starbucks,14092-114824,Macy's 6th Floor,Company Owned,151 W. 34th Street,New York,NY,US,100012101,212-268-3695,GMT-05:00 America/New_York,-73.99,40.75,151 W. 34th Street New York,"{'type': 'Point', 'coordinates': [-73.99, 40.75]}"
21135,Starbucks,20679-207324,87th & Third,Company Owned,1542 Third Avenue,New York,NY,US,10028,212-369-2949,GMT-05:00 America/New_York,-73.95,40.78,1542 Third Avenue New York,"{'type': 'Point', 'coordinates': [-73.95, 40.78]}"
21136,Starbucks,25274-240368,26th between 10th and 11th,Company Owned,525 West 26th St,New York,NY,US,10001,347-387-7428,GMT-05:00 America/New_York,-74.0,40.75,525 West 26th St New York,"{'type': 'Point', 'coordinates': [-74.0, 40.75]}"
21137,Starbucks,19890-198365,57th & Eighth,Company Owned,250 W 57th St,New York,NY,US,10107,212-586-0940,GMT-05:00 America/New_York,-73.98,40.77,250 W 57th St New York,"{'type': 'Point', 'coordinates': [-73.98, 40.77]}"
21138,Starbucks,14498-121264,88th & Broadway,Company Owned,2394 Broadway,New York,NY,US,100241703,212-595-3404,GMT-05:00 America/New_York,-73.98,40.79,2394 Broadway New York,"{'type': 'Point', 'coordinates': [-73.98, 40.79]}"
21139,Starbucks,21506-212805,99th & Broadway,Company Owned,2621 Broadway,New York,NY,US,10025,212-222-3972,GMT-05:00 America/New_York,-73.97,40.8,2621 Broadway New York,"{'type': 'Point', 'coordinates': [-73.97, 40.8]}"
21140,Starbucks,7407-1674,92nd & Third,Company Owned,1642 Third Avenue,New York,NY,US,101283618,212-360-0425,GMT-05:00 America/New_York,-73.95,40.78,1642 Third Avenue New York,"{'type': 'Point', 'coordinates': [-73.95, 40.78]}"
21141,Starbucks,18509-188684,63rd & Lexington,Company Owned,822 Lexington Ave,New York,NY,US,10065,212-572-0984,GMT-05:00 America/New_York,-73.97,40.76,822 Lexington Ave New York,"{'type': 'Point', 'coordinates': [-73.97, 40.76]}"
21142,Starbucks,7622-22334,15th & 3rd,Company Owned,145 Third Avenue,New York,NY,US,100032543,212-677-7248,GMT-05:00 America/New_York,-73.99,40.73,145 Third Avenue New York,"{'type': 'Point', 'coordinates': [-73.99, 40.73]}"
21143,Starbucks,7769-65280,Macy's 3rd Floor,Company Owned,"151 W. 34th Street, Room 900",New York,NY,US,100012101,212 564 7025,GMT-05:00 America/New_York,-73.99,40.75,"151 W. 34th Street, Room 900 New York","{'type': 'Point', 'coordinates': [-73.99, 40.75]}"
21144,Starbucks,7497-8627,Broadway and Bond,Company Owned,665 Broadway,New York,NY,US,100122300,917-534-0799,GMT-05:00 America/New_York,-74.0,40.73,665 Broadway New York,"{'type': 'Point', 'coordinates': [-74.0, 40.73]}"
21145,Starbucks,26286-244212,124th and Broadway,Company Owned,"3165 Broadway, 3167",New York,NY,US,10027,9292432549,GMT-05:00 America/New_York,-73.96,40.82,"3165 Broadway, 3167 New York","{'type': 'Point', 'coordinates': [-73.96, 40.82]}"
21146,Starbucks,8130-93577,34th & Park,Company Owned,3 Park Avenue,New York,NY,US,100165902,212-725-9469,GMT-05:00 America/New_York,-73.98,40.75,3 Park Avenue New York,"{'type': 'Point', 'coordinates': [-73.98, 40.75]}"
21147,Starbucks,7462-233844,45th & 5th,Company Owned,2 West 45th,New York,NY,US,10036,2128690619,GMT-05:00 America/New_York,-73.98,40.76,2 West 45th New York,"{'type': 'Point', 'coordinates': [-73.98, 40.76]}"
21148,Starbucks,11738-106177,63rd & Broadway,Company Owned,1889 Broadway,New York,NY,US,100237005,2122451362,GMT-05:00 America/New_York,-73.98,40.77,1889 Broadway New York,"{'type': 'Point', 'coordinates': [-73.98, 40.77]}"
21149,Starbucks,8965-95114,51st btwn Park & Madison,Company Owned,45 E. 51st Street,New York,NY,US,100225901,212-688-8834,GMT-05:00 America/New_York,-73.97,40.76,45 E. 51st Street New York,"{'type': 'Point', 'coordinates': [-73.97, 40.76]}"
21150,Starbucks,9239-162565,52nd Btwn Fifth & Sixth,Company Owned,1290 Sixth Avenue,New York,NY,US,10019,212-977-4861,GMT-05:00 America/New_York,-73.98,40.76,1290 Sixth Avenue New York,"{'type': 'Point', 'coordinates': [-73.98, 40.76]}"
21151,Starbucks,5114-153466,96th & Lexington,Company Owned,1491 Lexington Avenue,New York,NY,US,100297307,212-369-0313,GMT-05:00 America/New_York,-73.95,40.79,1491 Lexington Avenue New York,"{'type': 'Point', 'coordinates': [-73.95, 40.79]}"
21152,Starbucks,75589-26767,Marriott Marquis - Street Level,Licensed,1535 Broadway,New York,NY,US,100364098,212-398-1900,GMT-05:00 America/New_York,-73.99,40.76,1535 Broadway New York,"{'type': 'Point', 'coordinates': [-73.99, 40.76]}"
21153,Starbucks,7557-15836,50th & 2nd,Company Owned,943 Second Avenue,New York,NY,US,100227744,212-715-0752,GMT-05:00 America/New_York,-73.97,40.76,943 Second Avenue New York,"{'type': 'Point', 'coordinates': [-73.97, 40.76]}"
21154,Starbucks,28168-250311,46th between 6th and 5th,Company Owned,"55 West 46th st, Broadway at 81st",New York,NY,US,10036,646.647.5558,GMT-05:00 America/New_York,-73.98,40.76,"55 West 46th st, Broadway at 81st New York","{'type': 'Point', 'coordinates': [-73.98, 40.76]}"
21155,Teavana,28466-250061,Teavana - Broadway at 81st,Company Owned,2261 Broadway,New York,NY,US,10024,212-799-0724,GMT-05:00 America/New_York,-73.98,40.79,2261 Broadway New York,"{'type': 'Point', 'coordinates': [-73.98, 40.79]}"
21156,Starbucks,10282-100718,Pearl & Hanover,Company Owned,110 Pearl Street,New York,NY,US,100053510,212-482-6530,GMT-05:00 America/New_York,-74.01,40.7,110 Pearl Street New York,"{'type': 'Point', 'coordinates': [-74.01, 40.7]}"
21157,Starbucks,7255-694,8th & 16th,Company Owned,124 Eighth Avenue,New York,NY,US,100115108,(212) 462-2020,GMT-05:00 America/New_York,-74.0,40.74,124 Eighth Avenue New York,"{'type': 'Point', 'coordinates': [-74.0, 40.74]}"
21158,Starbucks,17496-180205,42nd & 9th,Company Owned,350 West 42nd Street,New York,NY,US,10036,2122444176,GMT-05:00 America/New_York,-73.99,40.76,350 West 42nd Street New York,"{'type': 'Point', 'coordinates': [-73.99, 40.76]}"
21159,Starbucks,831-2028,32nd & 2nd,Company Owned,585 2nd Avenue,New York,NY,US,100164803,212-684-1299,GMT-05:00 America/New_York,-73.98,40.74,585 2nd Avenue New York,"{'type': 'Point', 'coordinates': [-73.98, 40.74]}"
21160,Starbucks,7375-1557,195 Broadway,Company Owned,195 Broadway,New York,NY,US,100073100,212 3851104,GMT-05:00 America/New_York,-74.01,40.71,195 Broadway New York,"{'type': 'Point', 'coordinates': [-74.01, 40.71]}"
21161,Starbucks,7277-986,23rd & Park,Company Owned,304 Park Avenue South,New York,NY,US,100104301,2124759025,GMT-05:00 America/New_York,-73.99,40.74,304 Park Avenue South New York,"{'type': 'Point', 'coordinates': [-73.99, 40.74]}"
21162,Starbucks,7682-50401,76th & Second,Company Owned,1449 Second Avenue,New York,NY,US,100212904,212-472-0653,GMT-05:00 America/New_York,-73.96,40.77,1449 Second Avenue New York,"{'type': 'Point', 'coordinates': [-73.96, 40.77]}"
21163,Starbucks,20185-203785,23rd & 1st,Company Owned,400 E 23rd st,New York,NY,US,10010,212-673-4213,GMT-05:00 America/New_York,-73.98,40.74,400 E 23rd st New York,"{'type': 'Point', 'coordinates': [-73.98, 40.74]}"
21164,Starbucks,19862-191464,UNIQLO @ 53rd & Fifth,Company Owned,"666 Fifth Avenue, 2nd floor",New York,NY,US,10103,212-956-2795,GMT-05:00 America/New_York,-73.98,40.76,"666 Fifth Avenue, 2nd floor New York","{'type': 'Point', 'coordinates': [-73.98, 40.76]}"
21165,Starbucks,7394-1505,81st & Columbus,Company Owned,444 Columbus Avenue,New York,NY,US,100245130,212-769-2296,GMT-05:00 America/New_York,-73.97,40.78,444 Columbus Avenue New York,"{'type': 'Point', 'coordinates': [-73.97, 40.78]}"
21166,Starbucks,837-95594,2nd Ave. & 9th Street,Company Owned,145 2nd Avenue,New York,NY,US,100035703,212-780-0027,GMT-05:00 America/New_York,-73.99,40.73,145 2nd Avenue New York,"{'type': 'Point', 'coordinates': [-73.99, 40.73]}"
21167,Starbucks,7858-65800,17th & 1st,Company Owned,"286 First Avenue, A",New York,NY,US,100091850,212-353-1214,GMT-05:00 America/New_York,-73.98,40.73,"286 First Avenue, A New York","{'type': 'Point', 'coordinates': [-73.98, 40.73]}"
21168,Starbucks,7540-241728,Union Square West,Company Owned,"25 Union Square West, 25",New York,NY,US,10003,6463366945,GMT-05:00 America/New_York,-73.99,40.74,"25 Union Square West, 25 New York","{'type': 'Point', 'coordinates': [-73.99, 40.74]}"
21169,Starbucks,1379-145445,Target East River Plaza T-2380,Licensed,517 E 117th St,New York,NY,US,100354409,212-835-0860,GMT-05:00 America/New_York,-73.93,40.8,517 E 117th St New York,"{'type': 'Point', 'coordinates': [-73.93, 40.8]}"
21170,Starbucks,7261-784,Greenwich Ave at Bank St,Company Owned,93 Greenwich Avenue,New York,NY,US,100145203,(212) 462-4697,GMT-05:00 America/New_York,-74.0,40.74,93 Greenwich Avenue New York,"{'type': 'Point', 'coordinates': [-74.0, 40.74]}"
21171,Starbucks,7215-142646,47th & Broadway,Company Owned,1585 Broadway,New York,NY,US,10036,212-541-7515,GMT-05:00 America/New_York,-73.99,40.76,1585 Broadway New York,"{'type': 'Point', 'coordinates': [-73.99, 40.76]}"
21172,Starbucks,14442-122904,19th & Park,Company Owned,240 Park Avenue South,New York,NY,US,100031414,212-375-1415,GMT-05:00 America/New_York,-73.99,40.74,240 Park Avenue South New York,"{'type': 'Point', 'coordinates': [-73.99, 40.74]}"
21173,Starbucks,821-2019,66th & Third,Company Owned,1128 Third Avenue,New York,NY,US,100656606,212-472-6535,GMT-05:00 America/New_York,-73.96,40.77,1128 Third Avenue New York,"{'type': 'Point', 'coordinates': [-73.96, 40.77]}"
21174,Starbucks,2784-91104,53rd & Sixth (NE Corner),Company Owned,1330 6th Ave.,New York,NY,US,10019,212-969-9066,GMT-05:00 America/New_York,-73.98,40.76,1330 6th Ave. New York,"{'type': 'Point', 'coordinates': [-73.98, 40.76]}"
21175,Starbucks,10841-103109,55th & Lex,Company Owned,655 Lexington Avenue,New York,NY,US,100224502,212-308-5717,GMT-05:00 America/New_York,-73.97,40.76,655 Lexington Avenue New York,"{'type': 'Point', 'coordinates': [-73.97, 40.76]}"
21176,Starbucks,7465-6649,59th & Columbus,Company Owned,2 Columbus Avenue,New York,NY,US,100236924,2124896757,GMT-05:00 America/New_York,-73.98,40.77,2 Columbus Avenue New York,"{'type': 'Point', 'coordinates': [-73.98, 40.77]}"
21177,Starbucks,11764-106301,Empire State Building,Company Owned,350 Fifth Avenue,New York,NY,US,101180110,212-268-5471,GMT-05:00 America/New_York,-73.99,40.75,350 Fifth Avenue New York,"{'type': 'Point', 'coordinates': [-73.99, 40.75]}"
21178,Starbucks,15685-158204,69th & First,Company Owned,1281 First Avenue,New York,NY,US,100215583,212-472-1312,GMT-05:00 America/New_York,-73.96,40.77,1281 First Avenue New York,"{'type': 'Point', 'coordinates': [-73.96, 40.77]}"
21179,Starbucks,14241-118145,NHL store @ 47th & Sixth,Company Owned,1185 Avenue of the Americas,New York,NY,US,100362601,212-730-7645,GMT-05:00 America/New_York,-73.98,40.76,1185 Avenue of the Americas New York,"{'type': 'Point', 'coordinates': [-73.98, 40.76]}"
21180,Starbucks,9240-9093,Secure Access: 55th & Sixth,Company Owned,1345 6th Ave,New York,NY,US,10105,(212) 265-8610,GMT-05:00 America/New_York,-73.98,40.76,1345 6th Ave New York,"{'type': 'Point', 'coordinates': [-73.98, 40.76]}"
21181,Starbucks,14841-127064,Church Street & Murray,Company Owned,120 Church Street,New York,NY,US,100072402,212-513-1451,GMT-05:00 America/New_York,-74.01,40.71,120 Church Street New York,"{'type': 'Point', 'coordinates': [-74.01, 40.71]}"
21182,Starbucks,7493-6648,100 Williams Street,Company Owned,100 William Street,New York,NY,US,100384512,212-509-9709,GMT-05:00 America/New_York,-74.01,40.71,100 William Street New York,"{'type': 'Point', 'coordinates': [-74.01, 40.71]}"
21183,Starbucks,21690-213064,Starbucks Level 3 Jacob Javits Cemt,Licensed,655 W 34th St,New York,NY,US,10001,212-216-2400,GMT-05:00 America/New_York,-74.0,40.76,655 W 34th St New York,"{'type': 'Point', 'coordinates': [-74.0, 40.76]}"
21184,Starbucks,7244-646,State St & Pearl Streets,Company Owned,1 Battery Park Plaza,New York,NY,US,100041405,2124821180,GMT-05:00 America/New_York,-74.01,40.7,1 Battery Park Plaza New York,"{'type': 'Point', 'coordinates': [-74.01, 40.7]}"
21185,Starbucks,7696-46039,56th Btwn Sixth & Seventh,Company Owned,120 W. 56th Street,New York,NY,US,100193866,212-262-9273,GMT-05:00 America/New_York,-73.98,40.76,120 W. 56th Street New York,"{'type': 'Point', 'coordinates': [-73.98, 40.76]}"
21186,Starbucks,9467-97021,43rd & 9th,Company Owned,593 Ninth Ave,New York,NY,US,100363706,212-594-7846,GMT-05:00 America/New_York,-73.99,40.76,593 Ninth Ave New York,"{'type': 'Point', 'coordinates': [-73.99, 40.76]}"
21187,Starbucks,9241-229444,53rd Inside Park Ave Plaza,Company Owned,55 East 52nd Street,New York,NY,US,10022,2127507140,GMT-05:00 America/New_York,-73.97,40.76,55 East 52nd Street New York,"{'type': 'Point', 'coordinates': [-73.97, 40.76]}"
21188,Starbucks,7860-83021,Trump Tower @ 57th & Fifth,Company Owned,725 5th Avenue,New York,NY,US,100222519,212-421-7154,GMT-05:00 America/New_York,-73.97,40.76,725 5th Avenue New York,"{'type': 'Point', 'coordinates': [-73.97, 40.76]}"
21189,Starbucks,15461-158185,8th Ave just south of 14th St,Company Owned,"122 Greenwich Avenue, (space A)",New York,NY,US,100117710,212-366-4672,GMT-05:00 America/New_York,-74.0,40.74,"122 Greenwich Avenue, (space A) New York","{'type': 'Point', 'coordinates': [-74.0, 40.74]}"
21190,Starbucks,14219-116045,Houston & W. Broadway,Company Owned,482 West Broadway,New York,NY,US,100125333,212-254-0139,GMT-05:00 America/New_York,-74.0,40.73,482 West Broadway New York,"{'type': 'Point', 'coordinates': [-74.0, 40.73]}"
21191,Starbucks,29941-255665,63rd & 3rd Ave,Company Owned,1077 3rd Avenue,New York,NY,US,10065,6468663442,GMT-05:00 America/New_York,-73.96,40.76,1077 3rd Avenue New York,"{'type': 'Point', 'coordinates': [-73.96, 40.76]}"
21192,Starbucks,75194-74840,New York University,Licensed,45 West 4th Street,New York,NY,US,10012,212-995-3443,GMT-05:00 America/New_York,-74.0,40.73,45 West 4th Street New York,"{'type': 'Point', 'coordinates': [-74.0, 40.73]}"
21193,Starbucks,7851-80623,"Penn Station by A,C,E",Company Owned,1 Penn Plaza Concourse Level,New York,NY,US,101190002,212-736-3206,GMT-05:00 America/New_York,-73.99,40.75,1 Penn Plaza Concourse Level New York,"{'type': 'Point', 'coordinates': [-73.99, 40.75]}"
21194,Starbucks,7474-7588,93rd and Broadway,Company Owned,2498 Broadway,New York,NY,US,100257428,917-441-1643,GMT-05:00 America/New_York,-73.97,40.79,2498 Broadway New York,"{'type': 'Point', 'coordinates': [-73.97, 40.79]}"
21195,Starbucks,7801-52999,41st & Madison,Company Owned,295 Madison Avenue,New York,NY,US,100176304,212-922-9078,GMT-05:00 America/New_York,-73.98,40.75,295 Madison Avenue New York,"{'type': 'Point', 'coordinates': [-73.98, 40.75]}"
21196,Starbucks,7506-6650,42nd btwn 3rd & Lex,Company Owned,150 E. 42nd Street,New York,NY,US,100175612,212-949-4122,GMT-05:00 America/New_York,-73.98,40.75,150 E. 42nd Street New York,"{'type': 'Point', 'coordinates': [-73.98, 40.75]}"
21197,Starbucks,7352-920,86th & Columbus,Company Owned,540 Columbus Avenue,New York,NY,US,100243405,2124964163,GMT-05:00 America/New_York,-73.97,40.79,540 Columbus Avenue New York,"{'type': 'Point', 'coordinates': [-73.97, 40.79]}"
21198,Starbucks,7608-22381,48th & Lex,Company Owned,511 Lexington Avenue,New York,NY,US,100172017,212 4861964,GMT-05:00 America/New_York,-73.97,40.76,511 Lexington Avenue New York,"{'type': 'Point', 'coordinates': [-73.97, 40.76]}"
21199,Starbucks,26028-243049,33rd btwn 5th & 6th,Company Owned,"350 Fifth Avenue, 130, The Capitol At Chelsea",New York,NY,US,10001,2125649141,GMT-05:00 America/New_York,-73.99,40.75,"350 Fifth Avenue, 130, The Capitol At Chelsea New York","{'type': 'Point', 'coordinates': [-73.99, 40.75]}"
21200,Starbucks,7792-59799,27th & 6th,Company Owned,776 Avenue of the Americas,New York,NY,US,100016354,212-481-1856,GMT-05:00 America/New_York,-73.99,40.75,776 Avenue of the Americas New York,"{'type': 'Point', 'coordinates': [-73.99, 40.75]}"
21201,Starbucks,15751-162574,W Broadway & Leonard Street,Company Owned,180 West Broadway,New York,NY,US,100132906,2123437402,GMT-05:00 America/New_York,-74.01,40.72,180 West Broadway New York,"{'type': 'Point', 'coordinates': [-74.01, 40.72]}"
21202,Starbucks,7890-85122,42nd & 8th,Company Owned,251 West 42nd Street,New York,NY,US,100367201,212-398-1982,GMT-05:00 America/New_York,-73.99,40.76,251 West 42nd Street New York,"{'type': 'Point', 'coordinates': [-73.99, 40.76]}"
21203,Starbucks,7675-44919,14th & Sixth,Company Owned,510 Sixth Avenue,New York,NY,US,10011,(212) 242-5981,GMT-05:00 America/New_York,-74.0,40.74,510 Sixth Avenue New York,"{'type': 'Point', 'coordinates': [-74.0, 40.74]}"
21204,Starbucks,11736-106179,49th & Madison,Company Owned,425 Madison Avenue,New York,NY,US,100171110,212/644/9462,GMT-05:00 America/New_York,-73.98,40.76,425 Madison Avenue New York,"{'type': 'Point', 'coordinates': [-73.98, 40.76]}"
